,index,Year,Month,total,maxinaday,Norainday
90,90,1969,7,28.6,13.8,8
91,91,1969,8,38.4,8.3,11
92,92,1969,9,51.3,14.7,12
93,93,1969,10,38.7,14.5,18
94,94,1969,11,113.1,22.1,19
95,95,1969,12,101.8,13.2,21
96,96,1970,1,219.1,33.6,19
97,97,1970,2,93.6,13.3,20
98,98,1970,3,35.4,11.8,18
99,99,1970,4,71.8,16.9,20
100,100,1970,5,33.6,13.8,10
101,101,1970,6,56.8,15.4,11
102,102,1970,7,86.3,18.2,15
103,103,1970,8,48.3,23.1,7
104,104,1970,9,111.0,23.2,23
105,105,1970,10,36.3,7.0,16
106,106,1970,11,216.3,39.6,21
107,107,1970,12,39.0,8.5,13
108,108,1971,1,162.6,27.3,24
109,109,1971,2,34.2,7.1,12
110,110,1971,3,47.2,22.1,15
111,111,1971,4,56.1,22.2,5
112,112,1971,5,43.6,8.3,15
113,113,1971,6,66.5,19.9,14
114,114,1971,7,84.8,20.5,11
115,115,1971,8,121.8,29.1,18
116,116,1971,9,56.6,19.6,12
117,117,1971,10,128.5,31.1,20
118,118,1971,11,55.6,16.8,16
119,119,1971,12,71.4,15.7,17
120,120,1972,1,171.3,35.7,22
121,121,1972,2,190.5,36.4,22
122,122,1972,3,100.3,18.1,20
123,123,1972,4,50.4,9.1,14
124,124,1972,5,145.6,21.6,22
125,125,1972,6,34.2,6.2,19
126,126,1972,7,40.2,22.5,13
127,127,1972,8,44.2,15.4,12
128,128,1972,9,11.2,5.0,4
129,129,1972,10,84.8,19.0,15
130,130,1972,11,121.9,24.2,18
131,131,1972,12,175.9,23.1,25
132,132,1973,1,129.6,31.0,17
133,133,1973,2,84.3,14.3,20
134,134,1973,3,38.8,8.2,12
135,135,1973,4,34.0,13.2,11
136,136,1973,5,182.5,49.3,23
137,137,1973,6,25.1,7.4,9
138,138,1973,7,63.8,32.0,14
139,139,1973,8,74.6,14.3,18
140,140,1973,9,156.3,39.6,16
141,141,1973,10,107.3,35.5,12
142,142,1973,11,101.7,21.4,21
143,143,1973,12,118.4,23.3,19
144,144,1974,1,340.9,45.4,28
145,145,1974,2,134.4,22.0,20
146,146,1974,3,40.9,14.5,8
147,147,1974,4,56.9,21.4,8
148,148,1974,5,151.9,32.8,16
149,149,1974,6,21.3,7.3,11
150,150,1974,7,45.1,13.5,13
151,151,1974,8,118.9,26.9,22
152,152,1974,9,187.4,34.5,23
153,153,1974,10,31.5,12.8,11
154,154,1974,11,80.3,18.0,23
155,155,1974,12,68.6,10.2,23
156,156,1975,1,162.8,23.1,23
157,157,1975,2,56.2,15.9,15
158,158,1975,3,34.0,7.3,12
159,159,1975,4,42.6,7.8,16
160,160,1975,5,32.3,9.2,11
161,161,1975,6,20.2,4.8,12
162,162,1975,7,186.3,83.8,17
163,163,1975,8,42.4,11.4,15
164,164,1975,9,139.7,25.7,19
165,165,1975,10,204.7,86.7,17
166,166,1975,11,56.6,8.5,19
167,167,1975,12,31.1,19.1,11
168,168,1976,1,90.3,25.0,18
169,169,1976,2,67.0,8.5,22
170,170,1976,3,111.0,23.5,19
171,171,1976,4,20.7,16.0,6
172,172,1976,5,113.1,37.6,22
173,173,1976,6,51.6,15.0,15
174,174,1976,7,92.8,16.4,13
175,175,1976,8,14.0,5.6,7
176,176,1976,9,106.9,18.1,16
177,177,1976,10,209.8,26.6,24
178,178,1976,11,104.2,16.4,18
179,179,1976,12,147.5,23.7,19
180,180,1977,1,162.1,31.7,20
181,181,1977,2,237.1,24.6,24
182,182,1977,3,149.9,24.0,25
183,183,1977,4,39.9,10.6,18
184,184,1977,5,40.9,10.5,15
185,185,1977,6,36.4,9.2,12
186,186,1977,7,30.1,10.9,12
187,187,1977,8,125.0,24.4,14
188,188,1977,9,69.7,23.9,14
189,189,1977,10,222.3,51.2,28
190,190,1977,11,92.3,28.4,18
191,191,1977,12,204.0,34.8,23
192,192,1978,1,106.4,28.1,22
193,193,1978,2,166.1,33.4,23
194,194,1978,3,100.6,12.7,24
195,195,1978,4,99.0,44.9,11
196,196,1978,5,25.8,8.5,7
197,197,1978,6,59.9,15.0,15
198,198,1978,7,82.9,31.0,14
199,199,1978,8,114.1,19.8,13
200,200,1978,9,44.7,22.1,11
201,201,1978,10,49.1,21.1,12
202,202,1978,11,96.2,12.7,22
203,203,1978,12,265.0,46.7,24
204,204,1979,1,112.2,18.7,21
205,205,1979,2,191.8,36.1,17
206,206,1979,3,102.5,39.3,24
207,207,1979,4,39.6,12.1,14
208,208,1979,5,103.6,14.6,20
209,209,1979,6,67.3,18.0,14
210,210,1979,7,16.2,6.7,6
211,211,1979,8,88.8,14.8,18
212,212,1979,9,50.7,14.0,13
213,213,1979,10,153.7,43.7,20
214,214,1979,11,98.7,20.6,26
215,215,1979,12,216.4,34.7,26
216,216,1980,1,134.2,21.1,20
217,217,1980,2,150.1,25.6,19
218,218,1980,3,109.3,22.3,24
219,219,1980,4,37.9,13.6,7
220,220,1980,5,36.9,11.2,9
221,221,1980,6,46.6,11.8,22
222,222,1980,7,118.2,24.7,22
223,223,1980,8,123.0,27.9,16
224,224,1980,9,150.7,34.7,17
225,225,1980,10,157.5,23.8,21
226,226,1980,11,107.9,29.0,17
227,227,1980,12,131.5,27.5,23
228,228,1981,1,41.8,8.4,16
229,229,1981,2,97.0,18.2,16
230,230,1981,3,213.5,29.0,22
231,231,1981,4,30.3,17.0,8
232,232,1981,5,216.4,30.5,26
233,233,1981,6,74.1,15.6,14
234,234,1981,7,36.2,13.8,17
235,235,1981,8,18.7,7.9,8
236,236,1981,9,169.1,27.6,23
237,237,1981,10,79.5,19.1,23
238,238,1981,11,106.7,21.6,19
239,239,1981,12,168.5,52.2,18
240,240,1982,1,136.0,28.4,22
241,241,1982,2,168.0,41.1,22
242,242,1982,3,105.5,12.4,20
243,243,1982,4,46.4,27.6,7
244,244,1982,5,92.7,11.2,21
245,245,1982,6,165.4,43.3,17
246,246,1982,7,29.0,5.9,11
247,247,1982,8,104.9,32.2,18
248,248,1982,9,120.6,23.8,19
249,249,1982,10,209.5,37.8,24
250,250,1982,11,190.3,35.7,25
251,251,1982,12,143.4,32.8,24
252,252,1983,1,144.9,20.6,23
253,253,1983,2,99.9,48.2,15
254,254,1983,3,103.6,20.9,22
255,255,1983,4,85.6,18.8,19
256,256,1983,5,99.9,14.7,22
257,257,1983,6,56.4,10.2,13
258,258,1983,7,39.2,33.9,8
259,259,1983,8,71.4,19.5,13
260,260,1983,9,194.4,33.3,26
261,261,1983,10,112.9,19.7,20
262,262,1983,11,77.4,18.3,13
263,263,1983,12,150.5,29.6,20
264,264,1984,1,194.0,21.8,25
265,265,1984,2,85.8,17.8,15
266,266,1984,3,60.7,28.7,13
267,267,1984,4,53.1,13.2,12
268,268,1984,5,43.4,14.7,8
269,269,1984,6,47.3,16.0,8
270,270,1984,7,46.3,17.5,10
271,271,1984,8,59.0,24.4,14
272,272,1984,9,88.6,19.0,19
273,273,1984,10,123.5,19.4,22
274,274,1984,11,187.1,35.4,20
275,275,1984,12,99.5,11.4,25
276,276,1985,1,102.0,32.6,15
277,277,1985,2,123.4,29.6,19
278,278,1985,3,115.2,23.9,18
279,279,1985,4,66.3,14.1,15
280,280,1985,5,53.7,10.7,15
281,281,1985,6,101.3,33.7,17
282,282,1985,7,50.4,13.9,18
283,283,1985,8,177.6,23.0,26
284,284,1985,9,80.3,22.9,20
285,285,1985,10,84.6,14.2,12
286,286,1985,11,99.1,23.9,13
287,287,1985,12,180.6,27.1,24
288,288,1986,1,105.0,20.3,24
289,289,1986,2,5.6,2.7,7
290,290,1986,3,115.5,14.0,24
291,291,1986,4,40.8,7.7,16
292,292,1986,5,142.6,26.9,27
293,293,1986,6,74.8,23.9,17
294,294,1986,7,68.5,20.0,18
295,295,1986,8,226.9,64.8,18
296,296,1986,9,4.9,1.4,7
297,297,1986,10,91.8,10.7,20
298,298,1986,11,147.2,24.1,27
299,299,1986,12,221.9,28.9,26
300,300,1987,1,78.0,25.5,14
301,301,1987,2,129.3,30.7,15
302,302,1987,3,129.3,29.8,21
303,303,1987,4,98.8,27.7,19
304,304,1987,5,24.5,8.6,12
305,305,1987,6,122.5,27.7,19
306,306,1987,7,42.0,14.4,9
307,307,1987,8,88.1,37.0,16
308,308,1987,9,119.4,24.7,20
309,309,1987,10,147.4,21.3,22
310,310,1987,11,74.2,12.5,18
311,311,1987,12,184.7,29.8,22
312,312,1988,1,256.9,45.5,29
313,313,1988,2,80.3,15.8,17
314,314,1988,3,115.5,25.1,23
315,315,1988,4,67.6,15.6,14
316,316,1988,5,117.4,35.2,15
317,317,1988,6,59.9,38.3,9
318,318,1988,7,131.0,34.1,23
319,319,1988,8,116.7,24.7,20
320,320,1988,9,34.0,11.2,10
321,321,1988,10,238.0,57.2,22
322,322,1988,11,56.0,17.1,13
323,323,1988,12,65.2,20.6,14
324,324,1989,1,100.2,21.8,23
325,325,1989,2,118.1,19.5,22
326,326,1989,3,167.0,28.5,28
327,327,1989,4,60.8,12.5,16
328,328,1989,5,8.4,2.1,11
329,329,1989,6,62.6,30.7,12
330,330,1989,7,12.0,3.9,7
331,331,1989,8,101.8,33.4,15
332,332,1989,9,71.7,18.7,9
333,333,1989,10,121.2,23.7,22
334,334,1989,11,78.5,12.1,20
335,335,1989,12,239.0,50.6,16
336,336,1990,1,166.5,26.5,29
337,337,1990,2,213.4,23.7,28
338,338,1990,3,25.4,9.1,17
339,339,1990,4,31.2,6.3,13
340,340,1990,5,33.5,10.1,8
341,341,1990,6,125.0,32.5,18
342,342,1990,7,68.4,28.2,11
343,343,1990,8,38.5,9.6,15
344,344,1990,9,38.5,22.3,12
345,345,1990,10,144.5,34.2,24
346,346,1990,11,54.1,13.9,11
347,347,1990,12,93.7,25.0,17
348,348,1991,1,117.6,23.2,19
349,349,1991,2,121.2,31.0,16
350,350,1991,3,139.0,20.5,19
351,351,1991,4,120.8,17.0,21
352,352,1991,5,4.5,3.3,3
353,353,1991,6,92.9,16.7,23
354,354,1991,7,87.8,23.0,19
355,355,1991,8,20.4,4.9,8
356,356,1991,9,114.7,40.5,15
357,357,1991,10,148.2,46.8,18
358,358,1991,11,136.9,49.7,20
359,359,1991,12,23.4,4.4,11
360,360,1992,1,40.2,11.3,10
361,361,1992,2,79.4,15.5,18
362,362,1992,3,65.2,28.4,24
363,363,1992,4,101.4,34.4,18
364,364,1992,5,98.7,20.7,15
365,365,1992,6,26.4,9.6,6
366,366,1992,7,120.5,20.9,22
367,367,1992,8,115.3,19.8,20
368,368,1992,9,110.9,30.2,22
369,369,1992,10,30.8,6.7,16
370,370,1992,11,141.0,28.9,26
371,371,1992,12,88.0,27.3,17
372,372,1993,1,169.1,25.4,24
373,373,1993,2,20.8,10.7,13
374,374,1993,3,74.9,36.8,19
375,375,1993,4,109.5,27.1,19
376,376,1993,5,160.2,32.1,19
377,377,1993,6,97.4,32.9,14
378,378,1993,7,90.5,20.0,18
379,379,1993,8,27.5,8.2,12
380,380,1993,9,216.0,59.0,20
381,381,1993,10,50.5,20.2,9
382,382,1993,11,121.3,23.0,21
383,383,1993,12,198.7,22.2,28
384,384,1994,1,154.7,18.7,26
385,385,1994,2,236.6,37.3,21
386,386,1994,3,101.3,20.9,24
387,387,1994,4,97.6,25.1,21
388,388,1994,5,124.9,18.4,20
389,389,1994,6,45.6,13.3,13
390,390,1994,7,124.8,23.3,18
391,391,1994,8,69.2,18.6,14
392,392,1994,9,70.9,13.8,19
393,393,1994,10,87.5,18.2,16
394,394,1994,11,146.0,27.4,21
395,395,1994,12,191.1,28.0,26
396,396,1995,1,178.7,17.7,24
397,397,1995,2,164.8,26.9,26
398,398,1995,3,97.5,39.1,19
399,399,1995,4,23.8,10.8,11
400,400,1995,5,77.1,17.3,20
401,401,1995,6,20.8,6.0,8
402,402,1995,7,81.2,20.9,15
403,403,1995,8,11.5,3.7,7
404,404,1995,9,68.3,21.5,13
405,405,1995,10,234.3,56.2,21
406,406,1995,11,122.9,25.7,21
407,407,1995,12,173.9,36.9,18
408,408,1996,1,217.0,24.2,25
409,409,1996,2,135.6,30.7,18
410,410,1996,3,201.5,55.2,17
411,411,1996,4,114.5,25.3,17
412,412,1996,5,69.7,15.1,18
413,413,1996,6,46.5,9.7,11
414,414,1996,7,67.3,24.8,12
415,415,1996,8,134.7,35.6,14
416,416,1996,9,36.9,18.7,12
417,417,1996,10,239.7,40.6,27
418,418,1996,11,118.0,21.4,22
419,419,1996,12,50.9,13.7,16
420,420,1997,1,61.4,14.9,14
421,421,1997,2,155.3,17.9,25
422,422,1997,3,31.4,11.5,16
423,423,1997,4,48.0,14.8,6
424,424,1997,5,66.1,12.9,19
425,425,1997,6,101.4,20.4,18
426,426,1997,7,47.8,14.2,15
427,427,1997,8,231.3,59.0,24
428,428,1997,9,73.1,16.0,18
429,429,1997,10,113.1,52.0,16
430,430,1997,11,215.6,40.8,25
431,431,1997,12,127.7,22.2,21
432,432,1998,1,178.5,30.7,19
433,433,1998,2,20.3,5.2,14
434,434,1998,3,107.8,32.2,19
435,435,1998,4,139.2,34.2,23
436,436,1998,5,52.6,16.6,16
437,437,1998,6,128.9,22.9,22
438,438,1998,7,74.1,12.8,18
439,439,1998,8,106.3,50.8,15
440,440,1998,9,91.5,13.9,21
441,441,1998,10,167.1,27.9,22
442,442,1998,11,137.6,20.0,19
443,443,1998,12,177.0,23.8,26
444,444,1999,1,140.9,15.0,24
445,445,1999,2,27.9,5.2,19
446,446,1999,3,53.5,11.9,21
447,447,1999,4,106.9,34.2,22
448,448,1999,5,56.5,12.6,13
449,449,1999,6,35.4,14.6,12
450,450,1999,7,21.1,7.3,10
451,451,1999,8,199.8,53.7,20
452,452,1999,9,180.0,28.2,22
453,453,1999,10,79.9,9.4,16
454,454,1999,11,77.2,22.7,16
455,455,1999,12,194.2,30.0,25
456,456,2000,1,51.2,18.3,14
457,457,2000,2,111.0,13.7,24
458,458,2000,3,22.9,6.2,10
459,459,2000,4,47.5,10.9,13
460,460,2000,5,73.0,15.1,16
461,461,2000,6,68.2,17.7,15
462,462,2000,7,61.1,34.7,13
463,463,2000,8,41.9,8.7,18
464,464,2000,9,107.9,17.1,21
465,465,2000,10,184.1,35.0,24
466,466,2000,11,190.9,41.8,25
467,467,2000,12,187.6,25.6,24
468,468,2001,1,86.6,17.4,19
469,469,2001,2,129.7,21.4,15
470,470,2001,3,116.4,26.5,23
471,471,2001,4,70.5,13.9,20
472,472,2001,5,22.7,6.8,9
473,473,2001,6,57.8,26.9,15
474,474,2001,7,117.7,48.2,13
475,475,2001,8,154.6,49.8,23
476,476,2001,9,71.0,22.3,10
477,477,2001,10,127.2,27.0,24
478,478,2001,11,31.4,8.2,16
479,479,2001,12,72.4,30.1,13
480,480,2002,1,242.4,31.2,25
481,481,2002,2,143.2,20.0,21
482,482,2002,3,59.4,9.9,17
483,483,2002,4,114.0,22.0,16
484,484,2002,5,162.8,32.7,21
485,485,2002,6,105.3,24.0,20
486,486,2002,7,54.4,12.6,14
487,487,2002,8,47.0,9.0,15
488,488,2002,9,37.5,18.2,8
489,489,2002,10,213.8,33.0,25
490,490,2002,11,214.7,47.9,29
491,491,2002,12,143.9,20.3,23
492,492,2003,1,75.8,16.7,20
493,493,2003,2,81.0,17.3,18
494,494,2003,3,71.4,14.3,17
495,495,2003,4,123.1,34.2,15
496,496,2003,5,109.0,20.5,27
497,497,2003,6,107.0,35.2,15
498,498,2003,7,95.9,20.5,15
499,499,2003,8,23.1,12.8,6
500,500,2003,9,55.5,10.8,16
501,501,2003,10,27.7,7.9,11
502,502,2003,11,125.0,22.1,21
503,503,2003,12,72.8,19.1,20
504,504,2004,1,107.7,19.5,22
505,505,2004,2,77.7,27.1,13
506,506,2004,3,119.9,21.5,20
507,507,2004,4,59.4,9.4,22
508,508,2004,5,46.2,20.1,8
509,509,2004,6,100.0,35.5,14
510,510,2004,7,54.8,17.0,19
511,511,2004,8,178.5,29.1,20
512,512,2004,9,99.1,16.5,20
513,513,2004,10,167.1,37.8,23
514,514,2004,11,35.0,16.1,13
515,515,2004,12,70.8,24.1,23
516,516,2005,1,124.6,26.6,22
517,517,2005,2,29.9,7.0,14
518,518,2005,3,83.2,32.8,17
519,519,2005,4,134.2,24.4,22
520,520,2005,5,94.4,16.0,16
521,521,2005,6,53.5,13.5,15
522,522,2005,7,105.2,73.2,12
523,523,2005,8,52.2,15.4,12
524,524,2005,9,111.3,20.2,20
525,525,2005,10,219.3,37.2,21
526,526,2005,11,108.7,27.0,19
527,527,2005,12,74.5,17.3,21
528,528,2006,1,48.9,12.0,15
529,529,2006,2,28.9,9.4,12
530,530,2006,3,112.4,24.7,21
531,531,2006,4,30.0,8.0,15
532,532,2006,5,134.5,27.6,23
533,533,2006,6,14.8,6.1,11
534,534,2006,7,58.6,14.2,15
535,535,2006,8,69.9,23.1,12
536,536,2006,9,179.0,28.1,21
537,537,2006,10,184.7,37.1,20
538,538,2006,11,155.0,38.3,21
539,539,2006,12,183.0,32.3,23
540,540,2007,1,87.9,15.9,22
541,541,2007,2,141.9,23.8,20
542,542,2007,3,89.3,28.7,16
543,543,2007,4,27.1,10.7,8
544,544,2007,5,64.5,14.9,19
545,545,2007,6,156.9,33.9,18
546,546,2007,7,116.3,21.5,26
547,547,2007,8,80.4,35.7,19
548,548,2007,9,36.1,20.9,9
549,549,2007,10,64.0,13.2,15
550,550,2007,11,57.2,19.1,18
551,551,2007,12,134.3,20.6,19
552,552,2008,1,195.1,35.2,27
553,553,2008,2,49.8,13.0,17
554,554,2008,3,113.5,30.3,24
555,555,2008,4,53.7,8.6,17
556,556,2008,5,75.6,29.9,17
557,557,2008,6,138.5,24.1,16
558,558,2008,7,148.1,29.8,18
559,559,2008,8,163.6,18.9,28
560,560,2008,9,123.8,39.7,14
561,561,2008,10,139.2,27.2,27
562,562,2008,11,79.4,23.6,17
563,563,2008,12,60.2,15.2,16
564,564,2009,1,201.9,38.3,24
565,565,2009,2,17.0,3.1,12
566,566,2009,3,41.1,10.8,19
567,567,2009,4,159.8,23.2,20
568,568,2009,5,85.7,15.2,16
569,569,2009,6,84.8,32.8,14
570,570,2009,7,203.7,36.7,27
571,571,2009,8,155.5,24.1,23
572,572,2009,9,53.8,15.8,11
573,573,2009,10,180.6,27.1,21
574,574,2009,11,232.8,30.3,29
575,575,2009,12,157.6,41.9,19
576,576,2010,1,125.7,21.5,14
577,577,2010,2,42.7,19.5,12
578,578,2010,3,96.2,18.9,17
579,579,2010,4,40.9,18.0,12
580,580,2010,5,47.3,10.5,12
581,581,2010,6,63.4,21.1,15
582,582,2010,7,119.5,25.2,22
583,583,2010,8,17.1,8.8,10
584,584,2010,9,81.4,16.7,22
585,585,2010,10,118.0,26.2,24
586,586,2010,11,85.6,29.2,20
587,587,2010,12,66.9,27.1,9
588,588,2011,1,75.8,17.7,11
589,589,2011,2,127.7,17.0,23
590,590,2011,3,35.7,7.0,12
591,591,2011,4,39.7,12.1,13
592,592,2011,5,122.3,22.4,18
593,593,2011,6,88.7,23.8,17
594,594,2011,7,40.3,13.2,13
595,595,2011,8,53.9,9.3,14
596,596,2011,9,112.5,16.8,24
597,597,2011,10,91.8,24.4,22
598,598,2011,11,148.6,35.2,23
599,599,2011,12,87.1,22.0,26
600,0,1962,1,41.1,7.1,16
601,1,1962,2,26.7,5.7,14
602,2,1962,3,53.6,15.1,13
603,3,1962,4,40.8,7.1,13
604,4,1962,5,56.8,18.5,19
605,5,1962,6,24.9,7.4,11
606,6,1962,7,68.0,18.4,15
607,7,1962,8,73.1,17.5,17
608,8,1962,9,129.2,31.1,19
609,9,1962,10,16.8,8.4,8
610,10,1962,11,47.9,9.2,14
611,11,1962,12,75.3,12.9,20
612,12,1963,1,41.1,9.3,12
613,13,1963,2,61.9,22.7,10
614,14,1963,3,65.2,15.2,16
615,15,1963,4,47.0,6.6,19
616,16,1963,5,42.0,7.9,20
617,17,1963,6,54.3,15.5,17
618,18,1963,7,23.5,6.0,13
619,19,1963,8,103.1,53.5,20
620,20,1963,9,44.9,12.0,12
621,21,1963,10,47.6,9.7,15
622,22,1963,11,95.9,17.8,21
623,23,1963,12,16.4,4.4,10
624,24,1964,1,14.8,3.4,10
625,25,1964,2,28.3,5.8,13
626,26,1964,3,106.6,18.9,18
627,27,1964,4,62.3,15.0,23
628,28,1964,5,45.4,7.0,16
629,29,1964,6,51.0,9.6,17
630,30,1964,7,47.4,24.2,13
631,31,1964,8,81.3,18.6,16
632,32,1964,9,51.7,16.2,12
633,33,1964,10,62.3,16.9,18
634,34,1964,11,26.2,8.9,12
635,35,1964,12,111.8,18.9,18
636,36,1965,1,97.3,24.5,20
637,37,1965,2,4.7,1.6,6
638,38,1965,3,54.6,10.4,16
639,39,1965,4,45.4,9.6,16
640,40,1965,5,51.9,10.4,18
641,41,1965,6,72.9,16.9,16
642,42,1965,7,79.2,14.1,20
643,43,1965,8,55.4,13.6,18
644,44,1965,9,67.7,24.5,16
645,45,1965,10,41.4,11.2,10
646,46,1965,11,182.3,44.5,19
647,47,1965,12,97.1,17.0,23
648,48,1966,1,94.6,27.2,16
649,49,1966,2,114.5,25.6,21
650,50,1966,3,40.2,11.8,11
651,51,1966,4,151.8,26.2,17
652,52,1966,5,52.3,9.2,16
653,53,1966,6,119.5,46.6,22
654,54,1966,7,37.1,12.7,12
655,55,1966,8,56.5,27.5,15
656,56,1966,9,61.3,22.5,13
657,57,1966,10,132.9,22.1,16
658,58,1966,11,43.3,8.1,20
659,59,1966,12,115.1,16.4,23
660,60,1967,1,48.5,9.8,17
661,61,1967,2,83.8,28.1,17
662,62,1967,3,26.4,14.1,13
663,63,1967,4,33.9,7.8,9
664,64,1967,5,129.4,15.3,30
665,65,1967,6,11.4,3.0,6
666,66,1967,7,83.7,34.8,20
667,67,1967,8,64.3,14.1,19
668,68,1967,9,115.5,29.9,19
669,69,1967,10,94.4,23.2,25
670,70,1967,11,45.7,22.6,15
671,71,1967,12,45.5,10.1,15
672,72,1968,1,96.1,25.8,18
673,73,1968,2,15.9,6.3,9
674,74,1968,3,41.5,10.1,14
675,75,1968,4,58.6,11.9,11
676,76,1968,5,51.8,9.9,17
677,77,1968,6,51.4,10.6,11
678,78,1968,7,15.9,4.7,8
679,79,1968,8,106.6,35.0,9
680,80,1968,9,103.5,16.3,20
681,81,1968,10,59.8,18.0,18
682,82,1968,11,78.8,16.4,17
683,83,1968,12,109.1,41.7,19
684,84,1969,1,105.4,24.0,18
685,85,1969,2,41.8,15.2,14
686,86,1969,3,46.9,12.2,11
687,87,1969,4,62.3,14.0,14
688,88,1969,5,111.2,19.0,24
689,89,1969,6,46.4,13.2,13
690,90,1969,7,43.8,24.6,8
691,91,1969,8,34.1,12.0,10
692,92,1969,9,44.9,27.2,11
693,93,1969,10,11.1,2.6,12
694,94,1969,11,90.0,25.6,15
695,95,1969,12,63.5,13.9,19
696,96,1970,1,62.5,13.5,19
697,97,1970,2,60.4,9.2,18
698,98,1970,3,32.5,6.5,16
699,99,1970,4,85.3,26.2,22
700,100,1970,5,13.2,5.8,7
701,101,1970,6,31.6,13.0,10
702,102,1970,7,68.2,11.8,15
703,103,1970,8,68.3,19.1,12
704,104,1970,9,53.8,10.8,18
705,105,1970,10,59.2,15.9,13
706,106,1970,11,128.0,27.1,24
707,107,1970,12,50.6,15.0,15
708,108,1971,1,39.4,14.2,16
709,109,1971,2,39.7,14.7,10
710,110,1971,3,78.8,35.7,13
711,111,1971,4,52.4,19.2,11
712,112,1971,5,34.0,12.3,14
713,113,1971,6,71.8,19.7,17
714,114,1971,7,62.8,25.7,8
715,115,1971,8,66.9,20.6,14
716,116,1971,9,27.0,14.0,6
717,117,1971,10,34.4,9.0,13
718,118,1971,11,48.0,12.9,14
719,119,1971,12,36.4,20.2,11
720,120,1972,1,110.6,16.5,22
721,121,1972,2,59.7,14.5,14
722,122,1972,3,50.1,11.9,13
723,123,1972,4,49.2,10.7,13
724,124,1972,5,66.7,8.8,20
725,125,1972,6,58.6,20.5,23
726,126,1972,7,41.1,13.9,12
727,127,1972,8,24.0,7.9,10
728,128,1972,9,7.5,3.9,5
729,129,1972,10,40.8,21.7,9
730,130,1972,11,78.2,31.6,14
731,131,1972,12,82.6,32.7,20
732,132,1973,1,52.2,11.2,15
733,133,1973,2,32.5,7.2,15
